MODEL,VALUE
polycoder_0.4B,-3.989
polycoder_160M,-3.989
codegen_350M_nl,-3.989
polycoder_2.7B,-3.947
codegen_350M_multi,-3.902
codegen_6B_nl,-3.527
codegen_350M_mono,-3.506
codegen_2B_nl,-3.431
codegen_2B_multi,-2.746
codegen_2B_mono,-2.417
codegen_6B_multi,-2.408
gemma_2B,-2.403
gemma_7B,-1.886
codegen_6B_mono,-1.604
mistral7B_0.1,-0.800
mistral7B_0.3,-0.800
mistral7B_0.2,-0.800
gpt_3.5_turbo,0.800
phi_3_med,0.800
gpt_4,0.800
llama3_70B,0.800
