MODEL,VALUE
polycoder_0.4B,-3.984
polycoder_160M,-3.984
codegen_350M_nl,-3.984
polycoder_2.7B,-3.961
codegen_2B_multi,-3.953
codegen_2B_nl,-3.894
codegen_350M_multi,-3.869
codegen_350M_mono,-3.830
codegen_6B_nl,-3.667
codegen_6B_multi,-2.440
codegen_2B_mono,-2.362
gemma_2B,-2.255
gemma_7B,-1.602
codegen_6B_mono,-1.600
mistral7B_0.2,-0.803
mistral7B_0.1,-0.800
mistral7B_0.3,-0.800
gpt_3.5_turbo,0.800
phi_3_med,0.800
llama3_70B,0.800
gpt_4,1.600
