MODEL,VALUE
gemma_7B,-1.600
mistral7B_0.3,-0.800
llama3_70B,0.800
polycoder_160M,-3.999
codegen_350M_nl,-3.999
gpt_4,0.805
codegen_350M_mono,-3.352
santacoder,-2.856
codegen_350M_multi,-3.845
phi_3_med,0.800
mistral7B_0.1,-0.800
polycoder_0.4B,-3.999
codegen_6B_multi,-2.400
codegen_2B_nl,-3.599
mistral7B_0.2,-0.800
polycoder_2.7B,-3.971
codegen_6B_mono,-1.600
codegen_2B_mono,-2.400
codegen_2B_multi,-3.242
gpt_3.5_turbo,0.800
gemma_2B,-2.398
codegen_6B_nl,-3.225
